archivo_publicado,proveedor,id_fuente,url_fuente,licencia,atribucion,clase_imagen,alternativa,etiquetas_es,etiquetas_en,usos
/assets/pictogramas/fase1/limpio-fold_clothes.svg,Mulberry Symbols,fold_clothes,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/fold_clothes.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Doblarla,Fold it,juego:ordena-doblar-la-ropa juego:que-falta-doblar-la-ropa
/assets/pictogramas/fase1/limpio-get_on_bus.svg,Mulberry Symbols,get_on_bus,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/get_on_bus.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Ir a la parada,Go to the stop,juego:ordena-usar-el-transporte-publico juego:que-viene-usar-el-transporte-publico imprimible:rutina-usar-el-transporte-publico
/assets/pictogramas/fase1/limpio-hang_coat.svg,Mulberry Symbols,hang_coat,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/hang_coat.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Colgar el abrigo,Hang up your coat,
/assets/pictogramas/fase1/limpio-hoover.svg,Mulberry Symbols,hoover,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/hoover.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Pasar la aspiradora | Aspirar,Vacuum,juego:dividir-una-tarea-grande juego:ordena-pasar-la-aspiradora juego:que-falta-pasar-la-aspiradora imprimible:limpiar-la-casa imprimible:rutina-pasar-la-aspiradora
/assets/pictogramas/fase1/limpio-hungry.svg,Mulberry Symbols,hungry,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/hungry.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Comer algo,Have something to eat,
/assets/pictogramas/fase1/limpio-iron.svg,Mulberry Symbols,iron,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/iron.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Planchar,Iron,
/assets/pictogramas/fase1/limpio-make_the_bed.svg,Mulberry Symbols,make_the_bed,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/make_the_bed.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Hacer la cama,Make the bed,juego:dos-rutinas-mezcladas
/assets/pictogramas/fase1/limpio-put_on_coat.svg,Mulberry Symbols,put_on_coat,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/put_on_coat.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Ponerse el abrigo,Put on your coat,juego:construye-tu-manana juego:manana-de-lluvia juego:ordena-ponerse-el-abrigo-y-salir juego:que-viene-ponerse-el-abrigo-y-salir imprimible:rutina-ponerse-el-abrigo-y-salir
/assets/pictogramas/fase1/limpio-put_out_rubbish.svg,Mulberry Symbols,put_out_rubbish,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/put_out_rubbish.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Sacar la basura | Llevarla fuera,Take out the rubbish | Take it outside,juego:dividir-una-tarea-grande juego:ordena-sacar-la-basura juego:que-falta-sacar-la-basura imprimible:limpiar-la-casa imprimible:rutina-sacar-la-basura
/assets/pictogramas/fase1/limpio-sensory_room.svg,Mulberry Symbols,sensory_room,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/sensory_room.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Ir a un sitio tranquilo,Go somewhere quiet,
/assets/pictogramas/fase1/limpio-set_the_table.svg,Mulberry Symbols,set_the_table,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/set_the_table.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Poner la mesa,Set the table,juego:antes-y-despues-de-comer imprimible:poner-y-recoger-la-mesa
/assets/pictogramas/fase1/limpio-shampoo_hair.svg,Mulberry Symbols,shampoo_hair,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/shampoo_hair.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Lavarse el pelo | Frotar,Wash your hair | Rub,juego:ordena-la-ducha juego:ordena-lavarse-el-pelo juego:que-viene-lavarse-el-pelo imprimible:ducharse imprimible:rutina-lavarse-el-pelo
/assets/pictogramas/fase1/limpio-shave.svg,Mulberry Symbols,shave,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/shave.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Afeitarse,Shave,juego:ordena-afeitarse-o-cuidado-personal juego:que-viene-afeitarse-o-cuidado-personal imprimible:rutina-afeitarse-o-cuidado-personal
/assets/pictogramas/fase1/limpio-shoe_ladies.svg,Mulberry Symbols,shoe_ladies,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/shoe_ladies.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Quitarte los zapatos,Take your shoes off,juego:despues-de-un-dia-dificil imprimible:volver-a-casa
/assets/pictogramas/fase1/limpio-shoe_mans.svg,Mulberry Symbols,shoe_mans,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/shoe_mans.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Ponerse los zapatos | Poner el pie en el suelo | Coger un cordón en cada mano | Coger los zapatos | Ponerse un zapato | Ponerse el otro zapato | Elegir los zapatos | Zapatos | Poner los zapatos debajo,Put on your shoes | Put your foot down | Hold one lace in each hand | Take your shoes | Put on one shoe | Put on the other shoe | Choose the shoes | Shoes | Put the shoes underneath,juego:construye-tu-manana juego:ordena-atarse-los-cordones juego:que-viene-atarse-los-cordones juego:ordena-ponerse-y-quitarse-los-zapatos juego:que-viene-ponerse-y-quitarse-los-zapatos juego:ordena-elegir-la-ropa juego:que-viene-elegir-la-ropa juego:ordena-vestirse-por-orden juego:que-viene-vestirse-por-orden juego:ordena-preparar-la-ropa-del-dia-siguiente juego:que-viene-preparar-la-ropa-del-dia-siguiente juego:que-viene-dividir-una-tarea-grande juego:primero-preparar-el-pijama imprimible:rutina-ponerse-y-quitarse-los-zapatos imprimible:rutina-elegir-la-ropa imprimible:rutina-vestirse-por-orden imprimible:rutina-preparar-la-ropa-del-dia-siguiente
/assets/pictogramas/fase1/limpio-sit_at_computer.svg,Mulberry Symbols,sit_at_computer,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/sit_at_computer.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Vuelvo ya,I go back now,juego:volver-del-descanso
/assets/pictogramas/fase1/limpio-study.svg,Mulberry Symbols,study,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/study.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Deberes | Estudiar para el examen | Estudiar un trozo,Homework | Study for the test | Study one piece,juego:construye-tu-tarde juego:primero-despues juego:organizar-los-deberes juego:estudiar-para-un-examen imprimible:estudiar-por-partes
/assets/pictogramas/fase1/limpio-thirsty.svg,Mulberry Symbols,thirsty,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/thirsty.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Beber agua,Drink water,
/assets/pictogramas/fase1/limpio-toilet_go_to_the.svg,Mulberry Symbols,toilet_go_to_the,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/toilet_go_to_the.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Ir al baño,Go to the toilet,juego:ordena-ir-al-bano juego:que-viene-ir-al-bano juego:que-falta-beber-agua-a-lo-largo-del-dia juego:que-viene-usar-el-transporte-publico juego:que-falta-orientarse-en-un-lugar-conocido juego:ordena-higiene-nocturna juego:que-falta-higiene-nocturna juego:que-viene-descansar-antes-de-agotarte imprimible:ir-al-bano imprimible:rutina-higiene-nocturna
/assets/pictogramas/fase1/limpio-undress.svg,Mulberry Symbols,undress,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/undress.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Quitarse la ropa,Get undressed | Take off your clothes,juego:ordena-la-ducha juego:ordena-quitarse-la-ropa-y-dejarla-en-su-sitio juego:que-falta-quitarse-la-ropa-y-dejarla-en-su-sitio juego:ordena-ducharse juego:que-viene-ducharse juego:que-falta-esperar-el-turno juego:que-falta-tomar-la-medicacion imprimible:ducharse imprimible:rutina-quitarse-la-ropa-y-dejarla-en-su-sitio
/assets/pictogramas/fase1/limpio-use_computer.svg,Mulberry Symbols,use_computer,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/use_computer.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Usar el ordenador,Use the computer,
/assets/pictogramas/fase1/limpio-walk_dog.svg,Mulberry Symbols,walk_dog,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/walk_dog.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Pasear al perro | Pasear o limpiar,Walk the dog | Walk or clean,juego:salir-con-el-perro juego:ordena-cuidar-a-un-animal-de-compania juego:que-falta-cuidar-a-un-animal-de-compania imprimible:rutina-cuidar-a-un-animal-de-compania
/assets/pictogramas/fase1/limpio-wash_clothes.svg,Mulberry Symbols,wash_clothes,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/wash_clothes.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Poner una lavadora | Meter la ropa,Do a load of washing | Put in the clothes,juego:dividir-una-tarea-grande juego:que-viene-comprobar-llaves-telefono-y-documentos juego:ordena-poner-la-lavadora juego:que-viene-poner-la-lavadora juego:que-viene-prepararse-para-un-cambio-previsto
/assets/pictogramas/fase1/limpio-wash_up.svg,Mulberry Symbols,wash_up,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/wash_up.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Fregar los platos | Recoger la cocina | Lavar | Aclarar,Wash the dishes | Tidy the kitchen | Wash up | Rinse,juego:demasiadas-tareas juego:dividir-una-tarea-grande juego:ordena-lavar-los-platos juego:que-viene-lavar-los-platos imprimible:cocinar-una-receta imprimible:limpiar-la-casa imprimible:rutina-lavar-los-platos
/assets/pictogramas/fase1/limpio-water_plants.svg,Mulberry Symbols,water_plants,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/water_plants.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Regar las plantas | Regar,Water the plants,juego:dividir-una-tarea-grande juego:ordena-regar-las-plantas juego:primero-regar-las-plantas imprimible:rutina-regar-las-plantas
